GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Furguito,es.iespuertolacruz.furguito.api,Palmares,34,118,0,0,13,36,3,17,3,17
Furguito,es.iespuertolacruz.furguito.api,Equipo,34,118,0,0,13,35,3,17,3,17
Furguito,es.iespuertolacruz.furguito.api,Estadio,25,71,0,0,10,22,3,11,3,11
Furguito,es.iespuertolacruz.furguito.api,Jugador,34,118,0,0,13,35,3,17,3,17
Furguito,es.iespuertolacruz.furguito.exception,PersistenciaException,9,0,0,0,4,0,2,0,2,0
Furguito,es.iespuertolacruz.furguito.exception,EquipoException,9,0,0,0,4,0,2,0,2,0
Furguito,es.iespuertolacruz.furguito.exception,EstadioException,9,0,0,0,4,0,2,0,2,0
Furguito,es.iespuertolacruz.furguito.exception,JugadorException,9,0,0,0,4,0,2,0,2,0
Furguito,es.iespuertolacruz.furguito.exception,PalmaresException,9,0,0,0,4,0,2,0,2,0
Furguito,es.iespuertolacruz.furguito.modelo,EstadioModelo,27,0,0,0,9,0,4,0,4,0
Furguito,es.iespuertolacruz.furguito.modelo,Bbdd,1004,0,26,0,229,0,37,0,24,0
Furguito,es.iespuertolacruz.furguito.modelo,SqliteBbdd,7,0,0,0,2,0,1,0,1,0
Furguito,es.iespuertolacruz.furguito.modelo,EquipoModelo,45,0,0,0,15,0,7,0,7,0
Furguito,es.iespuertolacruz.furguito.modelo,JugadorModelo,27,0,0,0,9,0,4,0,4,0
Furguito,es.iespuertolacruz.furguito.modelo,PalmaresModelo,34,0,0,0,11,0,5,0,5,0
Furguito,es.iespuertolacruz.furguito.vista,FurguitoVista,360,0,42,0,147,0,38,0,4,0
Furguito,es.iespuertolacruz.furguito.vista,FurguitoUserApp,126,3,16,0,53,1,15,1,1,1
Furguito,es.iespuertolacruz.furguito.vista,FurguitoAdminApp,129,0,16,0,54,0,16,0,2,0
Furguito,es.iespuertolacruz.furguito.controller,PalmaresController,48,0,8,0,20,0,12,0,8,0
Furguito,es.iespuertolacruz.furguito.controller,JugadorController,48,0,8,0,20,0,12,0,8,0
Furguito,es.iespuertolacruz.furguito.controller,EquipoController,48,0,8,0,20,0,12,0,8,0
Furguito,es.iespuertolacruz.furguito.controller,PlantillaController,48,0,8,0,20,0,12,0,8,0
Furguito,es.iespuertolacruz.furguito.controller,EstadioController,48,0,8,0,20,0,12,0,8,0
